filename,true_positives,false_positives,false_negatives,total_completed,total_initial,mean_iou,precision,recall,f_score
00420001_2024-06-21_1_58fd07a85c_processed_00001.txt,4,0,1,4,5,0.999936487308278,1,0.8,0.888888888888889
00420001_2024-06-21_1_58fd07a85c_processed_00018.txt,3,3,3,6,6,0.9999435150563346,0.5,0.5,0.5
00420001_2024-06-21_1_58fd07a85c_processed_00079.txt,7,5,1,12,9,0.8806549986960986,0.5833333333333334,0.875,0.7000000000000001
00420001_2024-06-21_1_58fd07a85c_processed_00212.txt,0,1,2,1,2,NA,0,0,0
00420001_2024-06-21_1_58fd07a85c_processed_00310.txt,1,1,1,2,2,0.9999048292192693,0.5,0.5,0.5
00430001_2023-08-04_3_b94b774d18_processed_00115.txt,6,10,3,16,10,0.8531556232509288,0.375,0.6666666666666666,0.4800000000000001
00430001_2023-08-04_3_b94b774d18_processed_00135.txt,4,5,2,9,6,0.9999442471137804,0.4444444444444444,0.6666666666666666,0.5333333333333333
00430001_2023-08-04_3_b94b774d18_processed_00289.txt,1,3,3,4,4,0.9999693386857684,0.25,0.25,0.25
00430001_2023-08-04_3_b94b774d18_processed_00565.txt,6,1,6,7,12,0.9998054010007866,0.8571428571428571,0.5,0.631578947368421
00430001_2023-08-04_3_b94b774d18_processed_00632.txt,7,9,3,16,10,0.9999250049045167,0.4375,0.7,0.5384615384615384
00430001_2024-01-13_3_a0d6c29981_processed_00109.txt,7,5,2,12,9,0.9998969086637506,0.5833333333333334,0.7777777777777778,0.6666666666666666
00430001_2024-01-13_3_a0d6c29981_processed_00427.txt,0,3,1,3,1,NA,0,0,0
00430001_2024-01-13_3_a0d6c29981_processed_00454.txt,3,9,7,12,10,0.9999405720726878,0.25,0.3,0.2727272727272727
00430001_2024-01-13_3_a0d6c29981_processed_00488.txt,4,7,5,11,10,0.802858973565102,0.36363636363636365,0.4444444444444444,0.39999999999999997
00500001_NA_1_a8e2ba3fe1_processed_00083.txt,15,3,3,18,18,0.9978789578311357,0.8333333333333334,0.8333333333333334,0.8333333333333334
00500001_NA_1_a8e2ba3fe1_processed_00111.txt,6,0,1,6,7,0.9999405714588027,1,0.8571428571428571,0.923076923076923
00500001_NA_1_a8e2ba3fe1_processed_00388.txt,10,4,2,14,14,0.8479730882724305,0.7142857142857143,0.8333333333333334,0.7692307692307692
00500001_NA_1_a8e2ba3fe1_processed_00578.txt,6,3,4,9,10,0.9998511411068565,0.6666666666666666,0.6,0.631578947368421
00500001_NA_1_a8e2ba3fe1_processed_00818.txt,14,4,9,18,23,0.9998278511409621,0.7777777777777778,0.6086956521739131,0.6829268292682927
00550001_2023-11-20_1_c2c236cb64_processed_00088.txt,0,1,3,1,3,NA,0,0,0
00550001_2023-11-20_1_c2c236cb64_processed_00166.txt,2,11,0,13,3,0.7162344812218454,0.15384615384615385,1,0.2666666666666667
00550001_2023-11-20_1_c2c236cb64_processed_00207.txt,2,13,6,15,12,0.39645296207029124,0.13333333333333333,0.25,0.1739130434782609
00550001_2023-11-20_1_c2c236cb64_processed_00327.txt,19,10,0,29,23,0.8460133155227031,0.6551724137931034,1,0.7916666666666666
00550001_2023-11-20_1_c2c236cb64_processed_00404.txt,16,8,2,24,21,0.8457080196603283,0.6666666666666666,0.8888888888888888,0.761904761904762
00560001_2023-10-20_2_314655b00f_processed_00107.txt,12,5,2,17,14,0.9998793932967365,0.7058823529411765,0.8571428571428571,0.7741935483870968
00560001_2023-10-20_2_314655b00f_processed_00515.txt,7,4,4,11,12,0.8897962687973877,0.6363636363636364,0.6363636363636364,0.6363636363636364
00560001_2023-10-20_2_314655b00f_processed_00744.txt,2,3,2,5,4,0.9999229744129678,0.4,0.5,0.4444444444444445
00560001_2023-10-20_2_314655b00f_processed_00818.txt,4,9,4,13,8,0.9995840853959591,0.3076923076923077,0.5,0.380952380952381
00560001_2023-10-20_2_314655b00f_processed_00858.txt,3,1,2,4,5,0.9999771124812286,0.75,0.6,0.6666666666666665
00820001_2023-05-09_1_6eafde3b89_processed_00068.txt,6,7,5,13,11,0.9999214702552286,0.46153846153846156,0.5454545454545454,0.4999999999999999
00820001_2023-05-09_1_6eafde3b89_processed_00382.txt,9,10,2,19,11,0.9999300748664113,0.47368421052631576,0.8181818181818182,0.6
00820001_2023-05-09_1_6eafde3b89_processed_00449.txt,5,5,3,10,9,0.8191666543262806,0.5,0.625,0.5555555555555556
00820001_2023-05-09_1_6eafde3b89_processed_00644.txt,12,14,4,26,16,0.9998649381233397,0.46153846153846156,0.75,0.5714285714285714
00820001_2023-05-09_1_6eafde3b89_processed_00765.txt,5,8,2,13,7,0.9999048231193046,0.38461538461538464,0.7142857142857143,0.5
00820001_2023-09-09_4_21be4e5393_processed_00091.txt,1,1,5,2,6,0.9999438438450298,0.5,0.16666666666666666,0.25
00820001_2023-09-09_4_21be4e5393_processed_00116.txt,7,11,1,18,10,0.7803985234912806,0.3888888888888889,0.875,0.5384615384615385
00820001_2023-09-09_4_21be4e5393_processed_00235.txt,0,1,1,1,1,NA,0,0,0
00820001_2023-09-09_4_21be4e5393_processed_00236.txt,0,1,2,1,2,NA,0,0,0
00820001_2023-09-09_4_21be4e5393_processed_00288.txt,0,1,1,1,1,NA,0,0,0
