item_id,language,form,item_kind,category,item_definition,english_gloss,uni_lemma,is_animate,is_small,is_big,is_bodypart,is_place,lexical_category,complexity_category,sense,alternative_forms,multiword,AoA
item_46,English (American),WS,word,animals,puppy,puppy,puppy,1,0,0,0,0,nouns,,,,no,22
item_47,English (American),WS,word,animals,rooster,rooster,rooster,1,0,0,0,0,nouns,,,,no,28
item_48,English (American),WS,word,animals,sheep,sheep,sheep,1,0,0,0,0,nouns,,,,no,24
item_49,English (American),WS,word,animals,squirrel,squirrel,squirrel,1,0,0,0,0,nouns,,,,no,26
item_50,English (American),WS,word,animals,teddybear,teddybear,teddybear,1,0,0,0,0,nouns,,,,no,24
item_51,English (American),WS,word,animals,tiger,tiger,tiger,1,0,0,0,0,nouns,,,,no,24
item_52,English (American),WS,word,animals,turkey,turkey,turkey,1,0,0,0,0,nouns,,,,no,28
item_53,English (American),WS,word,animals,turtle,turtle,turtle,1,0,0,0,0,nouns,,,,no,23
item_54,English (American),WS,word,animals,wolf,wolf,wolf,1,0,0,0,0,nouns,,,,no,29
item_55,English (American),WS,word,animals,zebra,zebra,zebra,1,0,0,0,0,nouns,,,,no,26
item_56,English (American),WS,word,vehicles,airplane,airplane,airplane,0,0,1,0,0,nouns,,,,no,21
item_57,English (American),WS,word,vehicles,bicycle,bicycle,bicycle,0,0,1,0,0,nouns,,,,no,23
item_58,English (American),WS,word,vehicles,boat,boat,boat,0,0,1,0,0,nouns,,,,no,22
item_59,English (American),WS,word,vehicles,bus,bus,bus,0,0,1,0,0,nouns,,,,no,22
item_60,English (American),WS,word,vehicles,car,car,car,0,0,1,0,0,nouns,,,,no,18
item_61,English (American),WS,word,vehicles,firetruck,firetruck,firetruck,0,0,1,0,0,nouns,,,,no,25
item_62,English (American),WS,word,vehicles,helicopter,helicopter,helicopter,0,0,1,0,0,nouns,,,,no,26
item_63,English (American),WS,word,vehicles,motorcycle,motorcycle,motorcycle,0,0,1,0,0,nouns,,,,no,26
item_64,English (American),WS,word,vehicles,sled,sled,sled,0,0,1,0,0,nouns,,,,no,
item_65,English (American),WS,word,vehicles,stroller,stroller,stroller,0,0,1,0,0,nouns,,,,no,25
item_66,English (American),WS,word,vehicles,tractor,tractor,tractor,0,0,1,0,0,nouns,,,,no,26
item_67,English (American),WS,word,vehicles,train,train,train,0,0,1,0,0,nouns,,,,no,22
item_68,English (American),WS,word,vehicles,tricycle,tricycle,tricycle,0,0,1,0,0,nouns,,,,no,30
item_69,English (American),WS,word,vehicles,truck,truck,truck,0,0,1,0,0,nouns,,,,no,20
item_70,English (American),WS,word,toys,ball,ball,ball,0,1,0,0,0,nouns,,,,no,
item_71,English (American),WS,word,toys,balloon,balloon,balloon,0,1,0,0,0,nouns,,,,no,19
item_72,English (American),WS,word,toys,bat,bat,bat,1,0,0,0,0,nouns,,,,no,27
item_73,English (American),WS,word,toys,block,block,blocks,0,1,0,0,0,nouns,,,,no,23
